date,precipitacion
01/01/2003 00:00,2.200
01/01/2003 01:00,1.400
01/01/2003 02:00,0.100
01/01/2003 03:00,0.300
01/01/2003 04:00,0.400
01/01/2003 05:00,1.400
01/01/2003 06:00,1.800
01/01/2003 07:00,17.000
01/01/2003 08:00,12.600
01/01/2003 09:00,1.900
01/01/2003 10:00,1.300
01/01/2003 11:00,0.000
01/01/2003 12:00,0.200
01/01/2003 13:00,0.600
01/01/2003 14:00,0.600
01/01/2003 15:00,1.400
01/01/2003 16:00,0.200
01/01/2003 17:00,0.300
01/01/2003 18:00,0.200
01/01/2003 19:00,0.300
01/01/2003 20:00,1.300
01/01/2003 21:00,0.000
01/01/2003 22:00,1.200
01/01/2003 23:00,0.000
01/02/2003 01:00,1.500
01/02/2003 02:00,7.000
01/02/2003 03:00,3.000
01/02/2003 04:00,1.200
01/02/2003 05:00,0.600
01/02/2003 06:00,0.000
01/02/2003 18:00,0.800
01/02/2003 19:00,1.600
01/02/2003 20:00,5.500
01/02/2003 21:00,0.100
01/02/2003 22:00,0.000
01/03/2003 02:00,0.100
01/03/2003 03:00,0.000
01/03/2003 06:00,0.200
01/03/2003 07:00,0.000
01/03/2003 09:00,0.800
01/03/2003 10:00,0.000
01/03/2003 11:00,0.200
01/03/2003 12:00,0.000
01/03/2003 14:00,1.500
01/03/2003 15:00,0.000
01/03/2003 19:00,0.300
01/03/2003 20:00,0.100
01/03/2003 21:00,0.100
01/03/2003 22:00,0.300
01/03/2003 23:00,0.000
01/04/2003 00:00,1.700
01/04/2003 01:00,0.000
01/04/2003 04:00,0.100
01/04/2003 05:00,0.000
01/04/2003 09:00,4.600
01/04/2003 10:00,1.500
01/04/2003 11:00,0.000
01/05/2003 04:00,0.100
01/05/2003 05:00,0.300
01/05/2003 06:00,0.300
01/05/2003 07:00,3.000
01/05/2003 08:00,6.900
01/05/2003 09:00,10.800
01/05/2003 10:00,3.800
01/05/2003 11:00,0.100
01/05/2003 12:00,0.100
01/05/2003 13:00,0.000
01/05/2003 14:00,0.500
01/05/2003 15:00,2.000
01/05/2003 16:00,0.100
01/05/2003 17:00,0.700
01/05/2003 18:00,0.200
01/05/2003 19:00,0.100
01/05/2003 20:00,3.300
01/05/2003 21:00,2.300
01/05/2003 22:00,1.300
01/05/2003 23:00,0.400
01/06/2003 00:00,1.800
01/06/2003 01:00,0.500
01/06/2003 02:00,1.600
01/06/2003 03:00,1.200
01/06/2003 04:00,1.300
