date,total
2018-07-28,11.3
2018-07-29,10.89
2018-07-30,12.04
2018-07-31,12.97
2018-08-01,12.71
2018-08-02,12.13
2018-08-03,11.83
2018-08-04,12.17
2018-08-05,12.24
2018-08-06,11.66
2018-08-07,10.79
2018-08-08,11.51
2018-08-09,11.52
2018-08-10,11.07
2018-08-11,12.28
2018-08-12,11.84
2018-08-13,11.01
2018-08-14,11.65
2018-08-15,11.48
2018-08-16,11.6
2018-08-17,11.31
2018-08-18,12.87
2018-08-19,12.99
2018-08-20,12.08
2018-08-21,12.13
2018-08-22,12.93
2018-08-23,13.59
2018-08-24,13.25
2018-08-25,14.4
2018-08-26,14.59
2018-08-27,12.66
2018-08-28,12.35
2018-08-29,12.46
2018-08-30,11.97
2018-08-31,12.01
2018-09-01,11.71
2018-09-02,11.73
2018-09-03,11.85
2018-09-04,12.07
2018-09-05,11.8
2018-09-06,11.28
2018-09-07,10.96
2018-09-08,10.6
2018-09-09,10.41
2018-09-10,11.0
2018-09-11,10.61
2018-09-12,11.06
2018-09-13,10.7
2018-09-14,10.74
2018-09-15,10.09
2018-09-16,9.92
2018-09-17,11.08
2018-09-18,11.45
2018-09-19,11.31
2018-09-20,11.18
2018-09-21,12.26
2018-09-22,10.93
2018-09-23,10.68
2018-09-24,10.9
2018-09-25,11.27
2018-09-26,11.27
2018-09-27,11.5
2018-09-28,11.06
2018-09-29,10.23
2018-09-30,10.73
2018-10-01,10.98
2018-10-02,10.08
2018-10-03,10.79
2018-10-04,10.81
2018-10-05,11.08
2018-10-06,10.79
2018-10-07,11.05
2018-10-08,11.69
2018-10-09,11.52
2018-10-10,10.93
2018-10-11,11.18
2018-10-12,11.09
2018-10-13,10.99
2018-10-14,11.2
2018-10-15,10.85
2018-10-16,10.55
2018-10-17,10.78
2018-10-18,10.11
2018-10-19,9.47
2018-10-20,9.94
2018-10-21,10.02
2018-10-22,11.07
2018-10-23,10.48
2018-10-24,10.43
2018-10-25,10.57
2018-10-26,11.2
2018-10-27,11.19
2018-10-28,10.67
2018-10-29,11.61
2018-10-30,12.14
2018-10-31,11.96
2018-11-01,11.92
2018-11-02,10.4
2018-11-03,10.23
2018-11-04,9.97
2018-11-05,9.72
2018-11-06,9.64
2018-11-07,10.19
2018-11-08,10.04
2018-11-09,10.04
2018-11-10,9.29
2018-11-11,9.03
2018-11-12,9.25
2018-11-13,8.91
2018-11-14,8.61
2018-11-15,8.83
2018-11-16,8.67
2018-11-17,8.49
2018-11-18,8.45
2018-11-19,7.91
2018-11-20,7.46
2018-11-21,7.38
2018-11-22,7.21
2018-11-23,7.3
2018-11-24,7.38
2018-11-25,7.27
2018-11-26,7.7
2018-11-27,7.58
2018-11-28,6.91
2018-11-29,6.94
2018-11-30,7.73
2018-12-01,6.86
2018-12-02,6.99
2018-12-03,8.02
2018-12-04,7.79
2018-12-05,7.26
2018-12-06,7.35
2018-12-07,6.69
2018-12-08,6.57
2018-12-09,6.62
2018-12-10,7.27
2018-12-11,7.3
2018-12-12,7.96
2018-12-13,8.0
2018-12-14,8.21
2018-12-15,7.56
2018-12-16,7.45
2018-12-17,8.77
2018-12-18,9.11
2018-12-19,9.46
2018-12-20,10.06
2018-12-21,9.89
2018-12-22,9.18
2018-12-23,9.18
2018-12-24,9.15
2018-12-25,9.3
2018-12-26,9.23
2018-12-27,9.79
2018-12-28,10.53
2018-12-29,11.45
2018-12-30,11.4
2018-12-31,9.93
2019-01-01,9.97
2019-01-02,10.46
2019-01-03,10.44
2019-01-04,10.76
2019-01-05,12.01
2019-01-06,11.56
2019-01-07,11.07
2019-01-08,11.85
2019-01-09,11.52
2019-01-10,11.7
2019-01-11,11.37
2019-01-12,12.55
2019-01-13,12.69
2019-01-14,11.16
2019-01-15,10.89
2019-01-16,10.49
2019-01-17,9.49
2019-01-18,9.84
2019-01-19,11.11
2019-01-20,11.07
2019-01-21,10.36
2019-01-22,10.37
2019-01-23,10.66
2019-01-24,9.99
2019-01-25,9.25
2019-01-26,9.02
2019-01-27,8.89
2019-01-28,9.53
2019-01-29,9.3
2019-01-30,8.53
2019-01-31,8.37
2019-02-01,8.0
2019-02-02,7.69
2019-02-03,8.21
2019-02-04,7.34
2019-02-05,6.59
2019-02-06,6.53
2019-02-07,6.36
2019-02-08,6.59
2019-02-09,6.0
2019-02-10,5.89
2019-02-11,6.13
2019-02-12,6.39
2019-02-13,6.18
2019-02-14,6.4
2019-02-15,5.84
2019-02-16,5.52
2019-02-17,5.71
2019-02-18,5.54
2019-02-19,5.59
2019-02-20,5.6
2019-02-21,5.65
2019-02-22,5.87
2019-02-23,5.54
2019-02-24,5.63
2019-02-25,6.25
2019-02-26,6.48
2019-02-27,6.61
2019-02-28,6.61
2019-03-01,6.8
2019-03-02,6.62
2019-03-03,6.56
2019-03-04,6.6
2019-03-05,6.71
2019-03-06,6.26
2019-03-07,6.44
2019-03-08,6.41
2019-03-09,6.24
2019-03-10,6.26
2019-03-11,6.33
2019-03-12,6.15
2019-03-13,6.43
2019-03-14,5.83
2019-03-15,6.09
2019-03-16,5.86
2019-03-17,5.76
2019-03-18,5.51
2019-03-19,5.34
2019-03-20,5.26
2019-03-21,4.84
2019-03-22,4.53
2019-03-23,3.92
2019-03-24,3.8
2019-03-25,3.91
2019-03-26,3.12
